Sr No,Member Id,Unit Name,Contact Person,Chapter,Category
107,194,Kumar Brick Works,SHANKAR LAL WADHWANI,Bareilly,CEMENT & CEMENT PRODUCTS
108,195,Kumar Enterprises,"Pradeep, Nand Kishore, Dharmendra Kumar",Bareilly,AGRO & FOOD PROCESSING
109,196,Maha Laxmi Chemicals,Vijay Kumar Gupta,Bareilly,CHEMICAL & PETROLEUM
110,197,Laxmi Cold Storage,Hari Prakash Agarwal,Bareilly,AGRO & FOOD PROCESSING
111,199,Mahaveer Wood Craft,"Ashok Kumar Goel, Tushar Goel, Ankit Goel",Bareilly,WOOD  & WOOD PROUCTS
112,200,Maheshwari Industries,Pradeep Kumar,Bareilly,PHARMACEUTICAL & MEDICAL PRODUCTS
113,201,Monika Office Automation,Dinesh Pradhan,Bareilly,SERVICE
114,204,Neo Inks & Coatings,"Pankaj Agarwal, K.C. Agarwal",Bareilly,PAINTS & VARNISHES
115,207,Opal Soya Food,Alok Kumar Poddar,Bareilly,AGRO & FOOD PROCESSING
116,211,Modinagar PET Industries,Jai Bhagwan Kansal,Modinagar,PLASTIC & PLASTIC PRODUCTS
117,213,Praveen Electrical Appliances,"R.K. Duggal, Praveen Duggal",Bareilly,ELECTRICAL & ELECTRONICS
118,215,S R Chaddha Industries Ltd.,Ravi Kant Chaddha,Bareilly,ELECTRICAL & ELECTRONICS
119,217,R.K. Pulses Pvt. Ltd.,Rajeev Kumar Agarwal ,Bareilly,AGRO & FOOD PROCESSING
120,218,Shiv Shakti Metal Industries,Deeraj Gupta,Modinagar,ELECTRICAL & ELECTRONICS
121,222,Ramaa Shyama Papers  Pvt Limited,Dinesh Goyal,Bareilly,"PAPER, PRINTING & PUBLISHING"
122,224,Papular Pariwar Baker & Company,Kapil,Bareilly,AGRO & FOOD PROCESSING
123,226,Sadhya Product (P) Ltd.,"Ravi Prakash Agarwal, Naveen Prakash Agarwal",Bareilly,AGRO & FOOD PROCESSING
124,228,Dev Industries,Satish Bhardwaj,Modinagar,PLASTIC & PLASTIC PRODUCTS
125,231,The Grand Continental Hotel,Anish Bir.,Prayagraj,SERVICE
126,234,Shakti Tea Products Pvt. Ltd.,"R.P. Saraogi, Ajay Saraogi",Bareilly,AGRO & FOOD PROCESSING
127,236,Sheel Gram Vikas Sansthan,"Bharat Bhushan Sheel, Chandra Bhushan Saxena",Bareilly,"PAPER, PRINTING & PUBLISHING"
128,237,Sheela Enterprises (Sheela Foods Pvt. Ltd.),Manish Agarwal,Bareilly,AGRO & FOOD PROCESSING
129,238,Shiv Cones,"Vipin Kohli, Rajat Kohli",Bareilly,AGRO & FOOD PROCESSING
130,239,Shiv Om Enterprises,"Amit Kapoor, Atul Kapoor",Bareilly,PACKAGING
131,240,Shiv Sagar Wood Products Pvt. Ltd.,Rajeev Kumar Agarwal,Bareilly,WOOD  & WOOD PROUCTS
132,244,Bala Ji Foods,Sourya Agarwal,Bareilly,AGRO & FOOD PROCESSING
133,246,Shree Ganesh Khandsari Udyog,"Vinod Kumar Gupta, Amit Garg, Mohit Garg",Bareilly,AGRO & FOOD PROCESSING
